year_rank,year,song,reviewer,review,ranking,source_title,source
2015_31,2015,The Rhythm Changes,Aaron Leitko,"Buried within saxophonist Kamasi Washington’s sprawling three-hour debut album, The Epic, ""The Rhythm Changes"" is a bit of a digression, an island of R&B shuffle in an ocean of blissed-out and ebullient spiritual jazz. Sung by Patrice Quinn, it has the lush arrangement and easy-going feel of a '70s Stevie Wonder tune. It also has the positive message—about the nature of change, about the passing of time. But ""The Rhythm Changes"" does not feel out of place, even when juxtaposed against the record’s screechier extremes. It comes off like a secular prayer, a call-and-response hymn that offers a different path to the transcendent mood that preoccupies the bulk of The Epic. Though Washington and his bandmates spend the middle of the song swapping solos, it’s only in the outro—when the whole ensemble chimes in together, buoyed by a string arrangement and then a choir—that the song reaches its heady, slightly cosmic, culmination.",31,The 100 Best Songs of 2015,Pitchfork
2015_30,2015,WTF (Where They From),Jayson Greene,"Sometimes I like to treat myself to a Missy Elliott video mini-marathon. I watch as many clips as I can stand in the middle of my workday before my fidgeting can no longer be contained in an office chair (usually three or four). I was reminded I was overdue for a Missy session the first time I watched the video for ""WTF (Where They From)"", Elliott's first single in years. The first time I watched it, I could feel the grin spread across my face, and then I watched it again. And again. You can measure the success of a Missy Elliott single by the force of its liberating glee, and she was having more fun here, sounding freer and more invincible, than she has since 2007's ""Lose Control"".",30,The 100 Best Songs of 2015,Pitchfork
2015_29,2015,Feel You,Brian Howe,"The music of L.A. art-pop composer Julia Holter usually comes pre-loaded with big ideas that might carbon-date back to Ancient Greece or Jazz Age Paris. But beyond passing thoughts such as ""I should read Colette"" or ""What’s ekstasis again?"", listeners mainly jettison this stuff, like the bundled software you delete from a new laptop to make it yours. What we care about are the wondrous musical forms Holter spies through her erudite keyholes, and she flings the door wide open on ""Feel You"". Though she can’t be pinned to a single cultural register, many of her most striking songs are roughly one part '70s West Coast pop and two parts early music. She flips the ratio on one of the most luminous songs ever set on a rainy day. ""You know I love to run away from the sun,"" Holter sings in a powerful, purposeful flit. There’s something of baroque music in the buzz of a harpsichord and the ingenious chorus, where a thorny scale stands out against the easily resolving chords of the verses, but a pert bubblegum bounce dominates. Though thoughtful and unique, the song is perfectly immediate, and there’s a type of artistic maturity in that simplicity. Music can always borrow gravitas from scholarly footnotes, but here, the Rosetta Stone is Holter herself, though not in a ""confessional"" sense. Rather, she records her direct impressions of an inhabited world, not of her reading. The impetus becomes the sheer capacity of her nimble, emotive voice and the stickiness of her un-automatic melodic choices. A festival parade passes by; the mist is smeared with city lights; someone was wearing a raincoat—these are the kinds of glimpses one actually remembers, outside of the stories constructed in memory, much less narratives polished smooth by antiquity. After all the studious settings, Holter turns out to be her own best subject. You feel her.",29,The 100 Best Songs of 2015,Pitchfork
2015_28,2015,Run Away With Me,Jia Tolentino,"In what should have been the lead single for her critically beloved but relatively inert third album E•MO•TION, Carly Rae Jepsen shot another Cupid’s arrow right at her sweet spot of transcendent genericism and got something explosively romantic as a result. ""Run Away With Me"", like Annie’s ""Heartbeat"" or Robyn’s ""Dancing On My Own"", is purified and paradigmatic; Jepsen goes so breathless with longing that the object of her affection begins to seem less like a person and more like pop music proper, its solitary and universal embrace. The track begins with a blistering riff—some bagpipe-cum-saxophone-cum-trumpet monster, woozy with rainbows and a slight kazoo fizz—and then kicks into Jepsen’s babydoll verses, as triplets beat softly underneath. The drums build, fill, metastasize, and by the chorus, ""Run Away With Me"" is racing. It’s a Gravitron of the genre—neon, dizzying, and ruinous, built with factory precision. Embedded deep within the machinery are six Swedish sorcerers pulling the biggest levers in their possession. The track’s centrifugal yearning pins you fully, blasts glitter into the sky.",28,The 100 Best Songs of 2015,Pitchfork
2015_27,2015,Them Changes,Evan Minsker,"Throughout 2013’s ""Heartbreaks + Setbacks"", Thundercat surveyed the gradual decline of a relationship. On ""Them Changes"", the bass virtuoso has moved beyond the day-to-day struggle and has fully arrived at devastation. His heart is no longer breaking—it’s gone. ""Nobody move,"" he instructs, ""there’s blood on the floor."" Right at the jump, he instills a sort of crime-scene panic, and soon enough, he sheds some of the hyperbole and gets to the heart of the matter: He’s been dumped and is getting very drunk to dull the pain. His burbling funk jam about feeling debilitated and broken is, ironically, fueled by the same Isley Brothers beat that’s sampled on ""It Was a Good Day"". Such a shitty day needs a banger, and it’s only appropriate that Thundercat’s powerhouse collaborators/besties Flying Lotus and Kamasi Washington come through with contributions. Washington’s wildest solo begins right as the song fades out, and Lotus’ work is largely atmospheric. In its position as the centerpiece of his otherwise sedate mini-album The Beyond / Where the Giants Roam, ""Them Changes"" also serves as the midpoint between Thundercat’s two best overall looks: It’s got emotional turmoil sung in a bruised falsetto, and it’s got expertly performed six-string bass funk. This year, Pharrell pledged his allegiance to Thundercat after hearing ""Them Changes"". ""He is a necessity,"" Pharrell said, and he isn’t wrong.",27,The 100 Best Songs of 2015,Pitchfork
2015_26,2015,Eventually,Patric Fallon,"""Eventually""—what a loaded word Kevin Parker used to name the bittersweet ballad at the center of Currents. Likewise, it's a thought you'll find at the crux of pessimists and optimists alike, the hinge of their secret doubts and quiet hopes swaying back and forth as it's pushed along by time. And it's true, only time will tell. To hear Parker sing it himself in all the song's warm technicolor glow, you'd peg him a reformed defeatist, if only because, after all the times he's seen love go south, there's probably nowhere to go but up. It's right there in that heart-wrenching chorus, those two lines delivered in the weightless breakdown of Tame Impala's rockist synth-pop: ""But I know that I'll be happier, and I know you will, too."" Parker can't see the future, but damn if he hasn't been through this before. Why ""Eventually"" stands out among an album of wall to wall masterworks is its apparent duality, the tension of someone wanting to believe what experience plucked from their heart. Sure, the band's crystalline chords shimmer, their slinky bass lines sway, their drums bounce and pop, but you can't escape the trampled empathy in Parker's voice. That dichotomy sets us up for the song's best trick, one second of bated-breath silence after the music swells to the rafters. It's our moment of truth, the hinge on which we can move on from our deep-seated doubts or cling to them like a deflated life raft. ""Eventually"" won't tell us what happens next, but it sure does make the future look bright.",26,The 100 Best Songs of 2015,Pitchfork
2015_25,2015,Sugah Daddy,Douglas Wolk,"So this guy shows up all of a sudden, and it's that one guy. Fourteen years ago you thought you had something good going, and all of a sudden he ghosted—stopped returning your calls. Or anyone's. Every so often you heard a rumor about him: he wasn't doing so hot, or he was trying to pull himself back up from not-so-hot. You'd basically given up hope and moved on. And now here he is on your doorstep... and goddamn is he in incredible shape. Kinkier than ever, too. That's how ""Sugah Daddy"" presented D'Angelo at the tail-end of last year. It supercharges its funk by understating it: a clap-slap-snap beat, staccato piano stabs, and a dubbed-out, phased-up horn section, just barely tracing the contours of a groove that swings like hip-bones. Nothing obscures D'Angelo's voice, or rather his voices, as they casually dive and flip between registers, the kind of vocal performance you can't pull off unless you're utterly sure of your power. Every line is either an offhanded aside or rendered in harmonies so tight that no single melody dominates them. There's a bit of Prince in his phrasing, a bit of Funkadelic, and a lot of a knowing smirk—when you lean in to make out what he's singing, that's when he makes his move. ""Sugah Daddy"" plays on the pop history of both of its title's words; its lyric just barely stays on the right side of the line between super-creepy and super-hot. And it's definitely the sexiest song ever to mention a queef.",25,The 100 Best Songs of 2015,Pitchfork
2015_24,2015,Cel U Lar Device,Marc Hogan,"By dancing like nobody’s watching in that liminal space between the personal and the universal, Erykah Badu’s ""Cel U Lar Device"" deserved more than its share of any ""smart"" gadget's data plan in 2015. Drake, of course, picked up this game of telephone with his meme-able, undeniable ""Hotline Bling"", which itself reaches back to communal memory via a sparse '70s soul sample that could evoke civil rights protests, radio background music, or Virginia hip-hop up-and-comer D.R.A.M.’s own 2015 hit ""Cha Cha"". And yet OVO Sound's ""Marvins Room"" drunk-dialer can’t help but invest his Proustian mobile-phone reminiscence with ickily in-character, psychosexual condescension. Not his sometime mentor Badu, whose gender-flipping ""Hotline"" rework doesn’t seem overly fussed about her missing caller. The Toronto rapper/singer's successful slickness becomes the Atlanta R&B/hip-hop crossover godhead’s transcendent absurdity, four minutes turn into six-and-a-half, and—as she and co-writer Seven, her son with André 3000, put it here—""such ‘n’ such""; the difference is embodied in plainspoken ""cell phone"" for Badu’s whimsical yet sophisticated ""cellular device."" Since expanded into an entire But You Caint Use My Phone mixtape, ""Cel U Lar Device"" solidified a commercial smash as part of Internet-era folk culture, and confirmed that we’re connected most deeply when we’re casually, cosmically (maybe a little weirdly?) ourselves. Plus, like the Slits’ ""I Heard It Through the Grapevine"" or Ananda Shankar’s ""Jumpin’ Jack Flash"", you can play it around people who’re sick of the original. When the gong hits, the bass drops out, or the actually hotline-style pre-recorded greeting rings out about DJing a relative's Slip N Slide party, the moment will feel like yours and yours alone.",24,The 100 Best Songs of 2015,Pitchfork
2015_23,2015,March Madness,Andrew Nosnitsky,"As all great street rappers do, Future walks the line between hero and villain, and the divide is typically defined by a listener's willingness to fully engage with his work. From a distance, he's an artist who glorifies Xanax binges, but if you let his music engulf your spirit you'll realize that it's about how there's no glory to be found in a Xanax binge because the world is a horrible place and only pain is real. (Fig. 1.) Usually his tales are in the sound itself—he raps in brutalist nursery rhymes that reveal meaning through repetition and over beats that derive their power from the amount of pressure they put on your chest—but ""March Madness"" is the one track in his recent output that explicitly connects his struggle to the struggles of the world around him. ""All these cops shooting niggas—tragic"" is an incomplete thought, like basically every phrase to fall out of Future's mouth this year, but it might just provide a tangible enough source of trauma through which literal-minded listeners can recognize his more abstract cries for help.",23,The 100 Best Songs of 2015,Pitchfork
2015_22,2015,Know Yourself,Corban Goble,"It took virtually no time for ""I was running through the six WITH MY WOES!"", from Drake’s ""Know Yourself"", to become pop music’s decodable du jour. Whether you choose to acknowledge Drake’s definition of ""woes""—it’s an acronym for a mantra his crew lives by, working on excellence—or have decided to remain blissfully ignorant in keeping with an entire lane of Internet-y Drake merchandise, it matters not. What matters is that that particular musical moment (about 1:47 in, right when the beat drops) disabused listeners from the notion that this was your run-of-the-mill retail mixtape. In a year splattered with Drake’s agendas—fuck Meek Mill! New Raptors jerseys! I made a mixtape with Future! I can dance!—it’s best to default to one of his older maxims. Once the beat dropped in ""Know Yourself,"" nothing was the same.",22,The 100 Best Songs of 2015,Pitchfork
2015_21,2015,The Blacker the Berry,David Turner,"""The biggest hypocrite of 2015"" is the title that Kendrick Lamar gave himself on the opening verse of ""The Blacker the Berry"". That ain’t true. Objectively, subjectively, there are no advanced metrics or corrupted voting committee that would give Lamar that designation. Except that the only person who matters in that assessment is the one with the mouth that declared it true. Lamar is his own harshest critic, and when he closed the song saying ""Why did I weep when Trayvon Martin was in the street/ When gangbanging made me kill a nigga blacker than me,"" there was rightful questioning of respectability politics. But that reading didn't take into account Lamar’s nuance. The fuller context of To Pimp a Butterfly showed Lamar’s double consciousness tossing and thrashing with every issue: black-on-black violence, systematic racism, the strife of fame, and frustration over none of what’s he’s achieved being able to change all of that. Back in 2011 on ""Ab-Soul's Outro"" he calmly rapped, ""See I spent 23 years on this earth searching for answers/ ‘Til one day I realized I had to come up with my own."" ""The Blacker the Berry"" showed neither a sell-out nor revolutionary, but freed Lamar to once again wander unmarked trails, looking for guidance.",21,The 100 Best Songs of 2015,Pitchfork
2015_20,2015,Trap Queen,Miles Raymer,"In some respects, ""Trap Queen"" is a song that only could have become popular now: It’s a genre-bending collision of styles that worked its way up from an unknown rapper’s SoundCloud to nearly the very top of the Hot 100, and getting millions of unsuspecting pop fans singing along about the process of buying, processing, and selling bulk amounts of cocaine. But in most other ways, it’s really a timeless song. In cascading, melodic waves it replicates the giddy, weightless sensation of falling in love as effectively as anything by the Beach Boys or the Jackson 5, and if you peel away the Jeezy-ish level of technical detail about cooking crack you’re left with same themes of devotion, trust, and domestic eroticism that people have been writing lyrics about for centuries. Fetty’s method of infusing trap with an addictive bubble gum rush proved the validity of this sugary wave of pop-rap, and in coming years we’ll most likely see his formula copied more times than we can count, but what will make ""Trap Queen"" a classic is the way it makes the familiar seem so new, just like any good longterm relationship.",20,The 100 Best Songs of 2015,Pitchfork
2015_19,2015,Norf Norf,Evan Rytlewski,"Vince Staples could be one of the great gangsta rappers of his time, if he weren't utterly appalled by the notion of selling inner-city despair as breezy entertainment. ""I'm a gangsta Crip/ Fuck gangsta rap,"" he sneers on ""Norf Norf"", and it's an important distinction. Yes, he spent his youth running with the Crips, and while he doesn't apologize for that, he's not trying to glorify it, either. Staples dedicates much of his bracing debut album Summertime '06 to sucking the glamor out of the gangster fantasy, needling listeners with unceasing descriptions of violence and dehumanization, and refusing to offer a hopeful takeaway. He narrates without editorializing; usually his disdainful voice telegraphs his disgust for him, but on ""Norf Norf"", he relies on another tool to underscore the cruel absurdity of the street life: a seasick Clams Casino beat. A demented drone set to the stalled sputter of a motor that's been gutted for parts, it neutralizes the machismo in Staples' outlaw raps.",19,The 100 Best Songs of 2015,Pitchfork
2015_18,2015,Gosh,Mike Powell,"The thing I thought most about while listening to ""Gosh"" wasn’t Special Request or Zomby or any of the other early-'90s rave revivalists you could easily slot the song next to, but Talking Heads’ ""The Big Country"", a ballad by an art-school band about a man who can’t grasp America until he sees it from a plane. Like ""The Big Country"", ""Gosh""—and all of Jamie xx’s In Colour—is a study in perspective: How cars become ants and roads become veins and how things that are very far away can suddenly seem uncannily close. Or like photography, the way taking certain angles on certain objects render those objects abstract, forcing you to see them again for the first time. As ""Gosh"" dilates slowly from close-up to panorama, it’s like that: The farther away we get, the more intimate the picture becomes. Twenty-three years ago the electronic label Warp put out a compilation called Artificial Intelligence, which took dance music out of the clubs and domesticated it for home use. The cover was a drawing of a skinless alien blowing smoke rings from a Barcalounger. Now aliens can take their earbuds on the subway, ""Gosh"" rattling around their heads like an urban lullaby.",18,The 100 Best Songs of 2015,Pitchfork
2015_17,2015,REALiTi,Laura Snapes,"Grimes has always treated ""REALiTi"" as a purely practical matter. The song arrived earlier this year in demo form as an apologetic gift to fans: ""poorly recorded in the first place and never meant to be heard by anyone,"" wrote Claire Boucher, ""so it’s a bit of a mess haha."" Recorded during a fairly fruitless period of creative isolation in Squamish, it finds Boucher contemplating the divide between her old life and the one she lives now, with no trace of drama, regret, or ultimatum; that’s just is how it is these days. It's a refreshing enough sentiment, but ""REALiTi""'s transcendent vibe eclipsed its plainspoken origins. As with Julia Holter's Have You in My Wilderness, the links to Boucher's past work are clear, but the composition behind its burbling synths and handclap rhythms feels fathoms deeper. Testament to Boucher’s skill as a producer, that depth isn't a matter of extra reverb, as it might have been on 2012's Visions. When Boucher revamped ""REALiTi"" as a CD- and digital-only Art Angels bonus track, she ditched the blur of the demo in favor of pin-sharp focus that captured its iridescence—the way it glimmers melancholy and euphoric depending on the light. ""REALiTi"" is an aura photo of a perfect pop song, one whose flowing color reveals all Boucher’s unspoken defiance and anxiety in nuance. The more you listen, the more it gives—it’s no surprise to find a seamless 10-hour loop of it on YouTube.",17,The 100 Best Songs of 2015,Pitchfork
2015_16,2015,Sunday Candy,Eric Torres,"Chance the Rapper cooked up a star-making campaign this year, and ""Sunday Candy"", off Donnie Trumpet and the Social Experiment’s Surf, was its warm, gooey center. An impossibly sweet, plainspoken song that compares love to holy bread on Sundays, ""Sunday Candy"" was written for Chance’s grandmother, an unmatched force of positivity in his life growing up in Chicago. That quality alone gives the song an aww-inducing relatability for a lot of us (""you singing too, but your grandma ain’t my grandma!""), but the love that ""Sunday Candy"" describes can be paired with just about anyone, from a crush to a parent to a friend. Surf had no shortage of joyful live instrumentation, but it all comes together best here, with piano, trombones, trumpets, a chorus, and a gorgeous vocal turn from Jamila Woods that makes the song feel like the final, breathtaking moment in a musical (that perfect, Grease-indebted music video certainly helps). ""Sunday Candy"" is uplifting in a way no other song in 2015 could possibly be, a moment of much-needed love and joy from an artist filled to the brim with both.",16,The 100 Best Songs of 2015,Pitchfork
2015_15,2015,Hello,Amy Phillips,"Now that 25 is the fastest-selling album in the history of the galaxy and Adele has single-handedly saved the music industry, resurrected the monoculture, and brought about world peace, it’s kinda weird to remember that there was a time when her triumphant return was not a sure thing. Adele’s years away from the spotlight had potentially portended a lengthy (or permanent) retreat from public life. Or, God forbid, a comeback full of happy songs. But the gale-force wind storm whipped up by ""Hello""’s first ""HALLO FROM THE OTHER SIIIIDE"" blew away all that: the high priestess of heartbreak was back, and heartbreakier than ever. ""Hello"" proves that Adele continues to be better than anybody else in current pop music at communicating the misery of lost love. It’s a rock-solid, no-frills torch song that makes absolutely zero concessions to the fact that it was released in 2015. (The sepia-toned video, starring a flip phone and an old-school British telephone box, drove that point home.) It sounds like it could have been written at pretty much any point in history since the days of Alexander Graham Bell. But thank God it came out now, when we needed Adele the most.",15,The 100 Best Songs of 2015,Pitchfork
2015_14,2015,Coffee,Brad Nelson,"""I wish I could paint our love,"" Miguel sings at the beginning of ""Coffee"", and the design of the song itself is painterly, a surreal, weightless swirl, like milk blooming through a cup of joe. Miguel wrote a song about love and lust and located all of its tension in a precise image: making coffee for someone else. Of course, he makes this very small, terrestrial image sound like falling through infinite shapeless atmospheres, because, as with 2012's ""Use Me"", Miguel's artistry is in conveying closeness and vulnerability as they actually feel, as ambiguous blurs of pressure and release; because intimacy is about bodies and their positions in space but is also about achieving a kind of bodilessness; because just after waking, reality still contains some of the texture of a dream.",14,The 100 Best Songs of 2015,Pitchfork
2015_13,2015,Bitch Better Have My Money,Amanda Petrusich,"If, in 2015, women of a certain age and circumstance find themselves being consistently thwarted by any one behavior, it’s instinctive, nonsensical apologizing. Earlier this year, ""Inside Amy Schumer"" featured a skit—""I’m Sorry""— in which a panel of highly decorated women dependably and repeatedly sorry’d for things that were plainly not their fault: Dude brings you a cup of coffee when you asked for water? Fuck an apology, friend! Thus, when Rihanna released ""Bitch Better Have My Money""—arguably the least apologetic song of the millennium, if not in the whole of recorded music—it felt like a revelation, a corrective, a necessary and instructive text. Rihanna has never been much for equivocating (if she believes ""top"" and ""car"" rhyme, who are we to suggest otherwise?), and her agenda here is straightforward: Pay me what you owe me. Don’t act like you forgot. She flatly delivers her demands over a big, echoing beat; her Barbadian patois imbues the words with an unexpected loveliness. It’s hard to imagine any other contemporary artist delivering these lyrics quite so convincingly, or with such beautiful bile.",13,The 100 Best Songs of 2015,Pitchfork
2015_12,2015,Can’t Feel My Face,Jeremy Gordon,"Cocaine. Once again, Abel Tesfaye is talking about cocaine. For years, it’s been easy to knock Tesfaye for the avoidability of his self-inflicted hell. It stands to reason that if one feels bad about taking drugs and having sex, one might simply stop taking drugs and having sex. But there’s a levity to ""Can’t Feel My Face"" absent from the rest of Beauty Behind the Madness. The snappy bass line is excavated from Off the Wall-era Michael; the Jacksonian sweetness of Tesfaye’s voice counterbalances the potential severity of his lyrics. He’s singing about the possibility of overdosing on cocaine and/or his lady love, but he sounds happy about it. He loves it! If it’s a lie, he sold it well enough to become a bonafide pop star for the first time in his career.",12,The 100 Best Songs of 2015,Pitchfork
2015_11,2015,Should Have Known Better,Matthew Murphy,"As with the rest of Sufjan Stevens’ masterful Carrie & Lowell, ""Should Have Known Better"" derives much of its force from its harrowing autobiographical account of Stevens’ relationship with his late, troubled mother. (""When I was three, three maybe four, she left us at that video store."") Yet most of the song’s emotion is directed inward, as Stevens’ grief ripples into regret and self-recrimination, with his lyrics illustrating just how difficult it is to write any truly happy sentences that begin with the words ""I should have"".  Before the song draws to a close, however, its singer has internalized enough tough wisdom (""The past is still the past, a bridge to nowhere"") to permit in a glimmer of light, ""My brother had a daughter, the beauty that she brings, illumination,"" granting both song and album a rare moment of peace and the prospect of renewal.",11,The 100 Best Songs of 2015,Pitchfork
2015_10,2015,Lift Me Up,Raymond Cummings,"While being black in America has never been easy, being black in America in 2015 is culturally, economically, and politically nightmarish in ways that are nearly existential. It’s often possible to fall into a double-bind of perceived judgments, where others’ seeming disdain becomes a lens through which to view one’s own appearance, speech, mannerisms, even skin tone. The first full song on Summertime '06 confronts this notion head on. ""I’m just a nigga,"" Vince Staples begins, his flow flailing somewhere between swagger and shrug, ""until I fill my pockets/ And then I’m Mister Nigga."" From there, the Long Beach-born MC is off and loping through rhetorical thickets so dank and dense with allusion that true meaning becomes a quest without tangible rewards, and paranoia and reality blur deceptively. Producers DJ Dahi and No I.D. grind together pensive, bleary synthesizer chords so cryptically that the song’s vision of daily life floods with haunted house dread. Yet the throbbing chorus of ""Lift Me Up""—brightening slightly, multiplying Staples into titular echoes—eases this polemic into the realm of uneasy triumph. This isn’t the discernible tenor of Black Lives Matter protests; it’s the bass pulse rumbling inaudibly, just beneath the surface of things.",10,The 100 Best Songs of 2015,Pitchfork
2015_9,2015,Depreston,Ryan Dombal,"According to TripAdvisor, there are precisely five ""Things to Do"" in the Melbourne suburb of Preston—and coming in at number two on that list of attractions is…the local library. This is the humdrum setting of ""Depreston"", which finds Courtney Barnett considering a move away from the town’s quaint coffee shops to a place further out, where green space is plentiful. But whereas previous generations found solace in the predictability of tree-lined streets and boxy houses, this 28-year-old can’t help but feel depressed while eyeing the innards of a deceased estate, the ghosts of the past tugging at her in the form of left-behind war photos, sugar cans, and, most pointedly, a handrail in the shower. The house may have been someone’s dream, but not hers. The minor tragedy plays out in Barnett’s calm, scratchy drawl along with a vaguely country-fied guitar and backbeat. ""Depreston"" could not be more low-key if it tried, like an old Jeff Tweedy demo, but this does not make its emotional climax any less devastating. When the hook finally comes around—""If you’ve got a spare half a million/ You could knock it down and start rebuilding""—Barnett’s scattered observations come into focus. This is a song about not being able to own things. About letting go of ancestors’ desires. About the price of denying death. It’s a generational anthem that’s not anthemic at all.",9,The 100 Best Songs of 2015,Pitchfork
2015_8,2015,Really Love,Jia Tolentino,"""I don’t know if I trust you, but I really love you,"" whispers a woman credited as just Gina, in Spanish, at the end of the dark, stringed, flamenco swoon that introduces ""Really Love"". Her voice fades like a memory, and a harp from a dream sequence dissolves the scene; the beat and the soft-shoe bass start knocking, and the track—an indelibly cinematic single and instant classic off D’Angelo’s magnificent surprise album—sweeps you off your feet. Written closer to Voodoo’s release than to the Santa-like drop of Black Messiah and leaked in 2007 by Questlove to Triple J, ""Really Love"" feels as worn-in as it does serendipitous. It’s a relationship that’s teased and frustrated over a decade, which rises, in this six-minute rekindling, to the level of the streetlights and stars. For the length of the track, a hundred dusty particulars weave into a fantasia, in which love sounds effortless but tastes hard-won and real. ""I’m not an easy man to overstand,"" sings D’Angelo, who falsetto-croons his affection like he’s cajoling, even apologizing: ""I’m in really love with you."" By the end, your heart has synced up to that lopsided, soft, gilded refrain.",8,The 100 Best Songs of 2015,Pitchfork
2015_7,2015,Flesh Without Blood,Amy Phillips,"In the three years since Visions launched her into the upper echelon of indie stardom, Claire Boucher made headlines more as a fashion icon and a lightning rod than as a musician. But any doubts about her skill as a consummate polymath producer were detonated with the release of ""Flesh Without Blood"". A deceptively joyful combination of a hopscotching beat, lilting melody, and Boucher’s featherlight cooing, Art Angels’ lead single is the rare breakup song about a non-romantic relationship. (Grimes says she doesn’t write about love anymore.) Written ""for a former best friend of mine,"" about ""being really disappointed with someone who you really once truly admired,"" ""Flesh Without Blood"" contains some of the most quietly devastating lines of the year: ""I don’t see the light I saw in you before/ ...And now I don't care anymore."" It served as a razor-sharp reminder that Claire Boucher is a musical force to be reckoned with, a woman remaking pop in her own image.",7,The 100 Best Songs of 2015,Pitchfork
2015_6,2015,Constantly Hating,Winston Cook-Wilson,"Young Thug released a lot of crucial music in 2015, but few songs make a better case for him as a virtuoso vocal performer than ""Constantly Hating"", the snaking opener from his debut retail release Barter 6. Thug turns a shrinking violet of a beat, from Atlanta's newest master of understatement, Wheezy, into a playground for his wildest improvisations. The song is one continuous zig-zag. He creates extreme dynamics at unexpected junctures, delivering much of the first verse in a facetious stage whisper. Though they build carefully on one another, every sticky phrase sounds like some crooked fractal of the whole, and could be the basis of an entire song for a lesser artist (""I'm a beast, I'm a beast, I'm a mobster,"" ""I let that choppa go blocka blocka, get back son,"" ""I can’t stop stacking fucking figuuures""). Eventually, Birdman drops in like a block of granite. Run another two or three times through ""Constantly Hating"", and every mischievous detail embeds itself into your longterm memory.",6,The 100 Best Songs of 2015,Pitchfork
2015_5,2015,Let It Happen,Stuart Berman,"""Let It Happen"" functions as the neon-trimmed, infinity-mirrored portal into Currents, an album that sees Kevin Parker expunge the last vestiges of weed-scented elephantine riffage from Tame Impala’s arsenal in favor of shimmering soft-rock, digi-R&B beats and French house filters. You can hear that process of abandoning past orthodoxies play out in both Parker’s zen-koan lyrics (""Try to get through it/ Try to bounce to it"") and the song’s labyrinthine structure—when the track locks into a looped synth-stutter near the halfway point, it serves as both a nostalgic throwback to the sound of skipping vinyl and a battering ram into a new dimension. And true to the song’s fatalist philosophy, Parker uses the recording console like a Ouija board, sliding in and out of the song’s many sections as if guided by some subconscious, supernatural force. But despite its seven-minute sprawl, ""Let It Happen"" remains a highly intimate, interior experience. This isn’t so much psych rock as psyche rock—the sort of insta-jam that feels like it’s being broadcast to you via telepathy rather than a stadium PA.",5,The 100 Best Songs of 2015,Pitchfork
2015_4,2015,King Kunta,David Drake,"To Pimp a Butterfly was rolled out with a feint (""i"") and a pump-fake (an unreleased, untitled record that only appeared live on ""The Colbert Report""), followed by advanced hype from Pharrell, who promised an ""unapologetically black"" and ""AMAZING"" single that might set the world ablaze. In talking up its musicality, Pharrell may have set expectations too far afield for a record more interested in sly cleverness than brash novelty. ""King Kunta"" is less concerned with capital-I Innovation, instead unspooling an interconnected web of references musical and lyrical, historical and emotional. Produced by Terrace Martin and Sounwave, the uptempo, four-on-the-floor breakbeat channels Curtis Mayfield via DJ Quik, its musical touch-points as layered in potential interpretations as the lyrics themselves. Witness the friction of its contradictions: a universally compelling funk groove that's survived generations of barbecues carrying its gravely serious conceit, a reference to the torture of ""Roots""' protagonist. Meanwhile, Kendrick grins knowingly, his bemusement front-and-center while the details shift, oblique one moment and transparent the next, depending on your perspective. In a snap, a private joke becomes pregnant with significance. Just one example: a line about ""sharing bars"" now sounds like prophecy, while reinforcing the song's unspoken promise—to endure in the name of principle.",4,The 100 Best Songs of 2015,Pitchfork
2015_3,2015,I Know There’s Gonna Be (Good Times),Andy Beta,"The first time through Jamie xx’s In Colour, ""I Know There’s Gonna Be (Good Times)"" might scan as the album’s outlier, coming as it does after the dizzying pinnacle of ""Loud Places"". Profane instead of reverent, sun-bright instead of club-dark, drunk instead of ecstatic, ""I Know There’s Gonna Be (Good Times)"" is about getting low instead of climbing high. Built from little more than a snare roll, finger snaps, and chimes, Jamie xx made a breezy pop confection that alights on dancehall, trap, as well as doo-wop without ever settling on any one sound. On top of the beat, Jamie relies on the yipped boasts of Young Thug, the toasts of Popcaan, and deft placement of a sample from a cappella group, the Persuasions. When reached about the news that his old band’s 1972 song had been sampled, Jimmy Hayes of the Persuasions explained the song as a come-on: ""I ain't got no money in my pockets, they don't jingle, but as long as we can get together everything is gonna be alright,"" and Young Thug updates that sentiment, crowing, ""I'ma ride in that pussy like a stroller."" The repeated shout of ""I know"" becomes a protest in its own way, three very different people uniting in defiant belief.",3,The 100 Best Songs of 2015,Pitchfork
